青木 薰
上野 庸介
潮 元辉
昭岛 智明
上杉 尚喜
村松 北斗
松屋 星明
末上 光影
铃山 雷徒
氏家 亨
白取 典孝
臼井 勇生
宇田川 友气
内海 旭秀
内藤 晶博
野濑 一郎
铃木 八次郎
崎山 秀志
梅松 信贵
花泽 吉雄
丸藤 荣进
宇那矢 金彦
米河 昌义
梅林寺 铁吾
寺井 启道
江森 满彦
御崎 大地
须本 典之
越后 淳隆
剑崎 五木
海泽 宣彦
仓吉 春辅
及川 保藏
柳沼 卓磨
广井 直富
大神 威一郎
大石 陆城
追木 智孝
末江 友隆
久贺 信长
大河原 健太
大里 光辉
泽 博俊
大岛 基晴
仲岛 英登
大森 启一
森末 浩伸
户山 彩三
沼田 幸太郎
冲 太阳
美浦 小太郎
兴津 俊宪
荻野 梦宪
奥 大树
小松原 信三
小渊 阳夫
落合 周一郎
秋津 泷
音川 鹤太郎
寺林 一茶
谷川 和则
日笠 澄人
亲川 孝
风见 益夫
芝田 一成
仓木 多々男
岛园 胜二
韭崎 康二
春 宽人
春日部 孝道
片梨 良彦
若野 靖史
桂 长造
松浦 光阳
新藤 隆纪
奈仓 诚二
富田 三吾
家门 守
猪狩谷 贯一
冰野 贵宣
向日田 欣司
菅 政伸
笹冢 忠生
田神 伸一
照谷 一夫
神野 流
菊田 悟
津川 邦雄
隅田 信正
美甘 朝人
岸本 正高
南山 透
仲根 丰
加贺山 晋
芝田 大辅
粟野 邦夫
石原 孝司
芳野 勇三
茂山 良平
多贺 修三
浦泽 敦志
关 贵靖
上村 纯二
漆原 秀明
庄司 真一
坂上 裕道
关野 俊彦
长山 博明
成田 一真
中里 康信
樫山 弘志
小松田 彰
田岛 洋平
住田 良之
筱冢 直广
泷山 文雄
北条 健治
和泉 宪满
熊田 昌弘
新沼 秀三
仓持 尚幸
袖山 穰
稻垣 亮
本广 幸治
北林 义则
有贺 恭一
小野 贵志
儿岛 纪明
久住 聪一
杉江 健太郎
笹山 英治
三井 范生
大贯 博司
笹井 阳一
串野 俊光
茂野 康正
影山 道行
桑名 谦三
岩永 智博
千种 真介
荻山 国雄
久本 惠
米泽 谦介
安西 范生
风祭 敏雄
黑谷 启介
小井土 隆
代田 正文
朝仓 英信
岛津 守
小谷 武士
飨庭 淳一
户越 三郎
长森 通
今山 正史
黑岩 元则
福池 晃
财部 郁男
浅山 忠
荒田 彻也
新井 贞晴
饭星 充利
石野 茂
香西 利明
冢越 直也
林田 明夫
富泽 大介
西浦 宏英
和田 茂弘
田边 孝之
爱本 英之
草剃 涉
原 康一郎
平畠 荣一
玉野 成光
阿川 忠俊
天田 充洋
海老川 允
权田 博
刈谷 肇
永幡 秀敏
畑腰 敏信
菊山 治夫
桑山 昌史
嵯峨 胜德
助川 孝典
池尻 哲也
佐野 康幸
北田 雅之
附田 博之
前野 务
冲永 五郎
高见 宗一
仓元 孝治
江田 彰
里见 健一
松平 幸纪
黑住 直人
向井 忠广
小田岛 正二
梅川 晋介
谷池 康行
天田 宣之
田冈 忠彦
千代田 升
二村 朋之
森 清二
池本 拓也
冈部 升
森川 义昌
秦野 朋之
寺内 实
皆川 纪康
辻原 信男
内池 隆志
小长井 哲
川相 宪司
小高 秀道
草刈 敏信
关本 将士
樫野 纯一
添田 幸成
上月 诚人
牧村 洋三
富樫 阳生
狩野 拓弥
盐原 明宏
姬岛 智弘
笹野 隆司
筱宫 贵行
末次 秀彦
寺本 伸义
保住 直树
波多 信弘
志摩 幸一郎
志井 哲生
南部 俊也
甲本 重胜
井关 道男
笠木 章
岛村 阳一
近田 武德
人见 勇一郎
花谷 宏忠
降幡 泰久
竹园 文隆
津野 俊辅
井草 满男
中森 幸次
神前 利文
绵贯 秀定
葛西 满
下田 嘉男
相田 一男
饭仓 经男
久田 康太郎
石本 敬二
大冢 义信
和久井 充
麻生 学
伍代 圭一
日向 善郎
林 次郎
小冢 正晴
市田 芳雄
锅田 达彦
小西 琢也
君岛 正树
泷本 茂
西本 宏纪
峰山 隆弘
东山 雅夫
北谷 政雄
税所 荣一
三田村 博昭
笠间 幸忠
矢口 友信
涩谷 达三
高城 龙二
仲本 浩德
星川 辉之
锻治山 慎
重田 武男
濑田 浩一
寺井 康幸
野平 正道
雨宫 幸裕
藤元 浩
北野 恭平
坂川 直俊
山桥 益雄
府山 忠彦
松村 义行
绫部 正树
夏目 俊治
绪川 佳史
谷村 恒男
伊山 阳三
谷上 浩二
日高 满男
增园 忠之
渥见 实
日下部 彻也
细田 邦彦
向山 春宪
安达 昌平
早乙女 亨
久野 浩二
坪内 清司
杉野 悟
立花 进
坂野 幸一
津田 泰明
植草 周平
奥本 诚也
末森 尚
猪口 厚
松户 文昭
佃 信太郎
近江 隆一
筱原 孝治
初富 正雄
长畑 义和
河田 博
榛原 彻
木田 学
横堀 秀人
丹野 克信
盐川 敏行
开田 健介
冢田 晃一
波野 祥一
早坂 八郎
沟口 佑一
柴田 智文
花山 健太郎
森住 孝
大竹 雅浩
品田 正和
榊 洋一郎
生田 胜
船田 晴男
生方 诚一
边见 安重
莲田 信雄
藤村 直辉
高安 重雄
武井 辉彦
冈山 秀人
林场 则人
芝草 康史
家持 胜信
古城 幸次郎
波越 雅则
冰室 畅忠
赤星 泰男
城田 泰昭
船渡 涉
柄本 次郎
键本 铁男
原中 孝雄
小日向 礼二
金山 敏生
曾我部 稔
沼尻 泰人
楠木 贞和
村田 重政
中畑 忠泰
冲津 正彦
星 佑一郎
久留米 透
大田 典正
山添 康则
鬼束 义成
宫园 幸正
小鹿 邦夫
宇野边 亨
神保 章
室町 武幸
米山 正人
齐田 纯男
黑川 孝
樱庭 敏则
饭田 信义
高见泽 孝
寺田 贵之
石山 宗一
岛森 修二
菅野 典弘
森野 浩次
山国 健三
草间 直彦
大杉 雅彦
佐竹 大
木户 英辅
村中 淳
金森 匡史
齐木 重德
盐谷 良明
野上 宏昌
千叶 隆正
足立 浩正
衣笠 博道
藤山 智也
辰田 昭夫
松尾 洋次郎
洼谷 亨
深町 清春
岩村 聪一
菅井 佳彦
仓田 一铁
岛原 士朗
椎木 哲男
三宫 纪正
酒折 俊夫
涩川 直哉
石堂 恒
前畑 彻郎
泷上 智树
市川 晶
小柳 纯男
梶田 稔
高岛 光博
宫林 幸则
藁谷 荣一
矶山 俊太
绵山 耕一
越智 继夫
鸟井 正志
岛 文一郎
古濑 浩行
赤川 义武
丰崎 继正
光井 纯二
露木 康二
冲本 幸平
小界 良光
丰川 忠生
小笹 康彦
细江 秀明
高户 郁夫
下岛 和政
中川 良夫
濑口 辉政
肉仓 敏久
三浦 尚哉
泷野 文雄
有泽 荣
白谷 保敏
三园 荣治
佐原 公雄
国安 久雄
高砂 守康
川向 文昌
山寺 启二
横森 忠
木内 惠三
土居 幸一郎
中根 俊太
砂原 诚二
平田 幸次郎
尾上 弘忠
久米 义正
辻村 纪靖
大关 忠敏
泷田 牧男
富川 康义
町田 恭二
古田 则夫
新田 真吾
山岸 正嗣
岩井 诚二
西冈 敏生
佐伯 正吉
今田 正辉
三次 泰正
荒川 辉信
饭尾 峻
榎木田 隆
柳濑 公康
蛭田 敏正
佐田 靖史
江本 宽继
富士川 正幸
石仓 秀平
桐田 裕辅
胜田 升
染山 道雄
岩上 正吉
浪越 继敏
加势 充明
前中 清司
江守 胜男
神泽 耕一
细村 敏正
樋山 敏明
田泽 晋介
三轮 康明
浅田 拓郎
粟生 友哉
横井 尚人
大平 辉明
草山 宗太
须贺 雅史
永野 亮介
片平 充则
真下 幸夫
若田 利博
ｱｰﾃﾞﾝ
阿卡斯塔
ｱｽｶﾘ
艾德沃卡特
ｽﾀﾌﾞﾘｯﾂ
ｱﾙｶﾞﾈｽ
ｱﾙｶﾙ
安切洛蒂
ｱﾝﾀﾘｵ
ｱﾝﾄﾆｵ
范加尔
A・伊埃内
伊达尔戈
霍利尔
N・艾利亚斯
ｴﾗｵﾉｽ
ｴﾘｴｯﾃｨ
ﾏｰｼｬﾙﾛ
ｴﾝﾘｺ
奥夫特
ｵﾌﾞﾗｲｱﾝ
D・奥利莱
ｵﾘﾍﾞｲﾙ
ｶｰﾛｲｽ
ｶｶｽｶ
巴西莱
J.ﾌｧﾝﾃﾞｽ
卡马乔
ﾋﾟｽｸﾙ
ﾄﾞﾝﾒﾙ
ｶﾞﾝｻﾞﾛｽ
居伊・鲁
比安奇
范马尔维克
贝尔萨
希斯菲尔德
ｷﾑ･ﾕﾝｻｸ
比拉尔多
H・科埃略
维纳布尔斯
ﾌｫｯﾃﾞ･ﾀｰﾝ
ｸﾗﾋﾞｽ
克莱门特
R・格林伍德
ﾇｰｽ
ｸﾙﾊﾟｳ
ｸﾞﾚｰﾑ
科佩尔
ｹｲﾀﾞﾛｽ
ｹｰﾊﾙﾄ
库珀
ｹｯｾ
ｹﾂﾈﾝ
ｹﾆｯｼｬｰ
ﾍﾝﾃ
ｹﾙｼｬｰ
ｹﾞﾙﾀﾞﾝ
ｹﾙﾁｬ
H・科贝尔
ｻﾞｰｲﾌﾞ
扎加洛
ｻﾞｸｾﾝ
扎切罗尼
萨基
ｻｯﾄﾝ
ｻﾊﾞｽ
ｻﾗﾃﾞｨﾝ
ｻﾗﾑﾝﾄﾞ
桑塔纳
ｻﾝﾄﾞﾏ
ｻﾝﾎｾ
绍恩
ｼﾞｮｰｲ
M・约尔
ｳﾞｫﾝ･ｽﾃﾙ
L・西蒙尼
西蒙斯
ｼﾞｬﾌｧｰﾙ
ﾎﾞｯﾁｭ
ﾌｨｰﾙ
ｼﾞｭﾘｵﾚｰﾉ
ｼﾞｮｰｼﾞｱ
雅凯
ｼﾞｮｾﾞ
ｼﾘｽｶ
ｽｹﾗ
ｽｺｯﾄﾝ
J・斯泰因
斯帕莱蒂
克拉梅尔
ﾍﾟｯｼｭ
Z・赫贝格
ｾﾚｽｶ
泽曼
ｿｰﾗﾙｽ
ﾀｳﾝｾﾞﾝﾄ
香克利
ﾁｬﾝ･ﾔｵｽﾝ
ﾛﾝﾃﾞｹﾞｽ
ﾃﾞｨｱｼﾞｰﾉ
ﾃﾞｨｴﾌﾟ
ﾃﾞｨｻﾞﾘｵ
ﾋﾞｰﾌﾟ
居内什
迪巴雷斯
ﾃﾞﾑｽｰﾘ
ﾃﾞｭｰｶﾞ
H.ﾌｧﾝﾃﾞｽ
维纳博莱斯
ﾚﾄﾞ
ﾃﾚﾝｺﾌ
道姆
ｼﾞｮｶﾛﾝ
ｼﾞｮｯｸ
特鲁西埃
特拉帕托尼
斯科拉里
拉扎罗尼
博・约翰森
ﾊﾞｰﾄﾝ
ﾊﾞｰﾝ
ﾓﾝﾃﾞｽ
ﾊﾞｳﾃｰﾙ
ﾁｭｯﾀ
卡佩罗
博斯科夫
ﾊｾｯｸ
佩克尔曼
ﾎﾟｰﾀ
ﾊﾟﾄﾘｴｽﾞ
霍德尔
ﾊﾊﾞﾈﾂ
ﾊﾗﾐﾉﾌ
ﾊﾘｽｺ
ｼｪﾙｼｪﾗｲﾝ
ﾊﾞﾙﾃﾞﾝ
ﾊﾟﾙﾐﾃﾞｽ
温格
ｻﾞﾝﾌｧｰﾙ
贝阿尔佐特
本哈克
ﾋﾟｴﾆﾁｬｸ
ﾋﾟｴﾙﾙｲｼﾞ
ﾋﾞﾗｶｽ
佩雷拉
弗格森
ﾗﾝﾘ
ﾌﾞｰﾗﾝ
ﾌｰﾘｯﾋ
ﾌｪﾘｰﾅ
ﾌｪﾙｽﾅｰ
ﾌｪﾙﾃﾞｨﾅﾝﾄﾞ
ﾌｪﾙﾐﾅｽ
ﾊﾗｷﾘｯﾁ
希丁克
ﾌﾗﾝｺ
ﾊﾞｼﾞｬﾚｽｷ
ﾌﾞﾛｰﾆﾝｸﾞ
ﾍｱﾘｯﾋ
ﾋﾟｯﾃｨｰﾆ
海因克斯
佩斯利
霍奇森
K・佩特鲁
佩德洛维奇
H・维斯韦勒
埃里克松
ﾍﾞﾘﾘｰﾆ
博斯克
ﾎﾞｱﾝｷ
ﾎﾞｳﾔｰｽ
巴斯比
ﾎﾞﾀﾞﾝｶﾞ
D・佩内夫
福格茨
ﾏｰﾙ
ﾏｸｰﾗ
马耶斯特雷利
ﾏﾃ
ｱﾀﾞﾇｽﾄ
ｼﾞｮｰｼﾞ
马克思默克尔
ﾏﾙｺ
ﾏﾙﾃｨｰﾆｮｽ
ﾐｯｷｰ･ﾗｳ
ﾎﾟｰﾄﾙ
ﾏﾙﾝ
马莱萨尼
ﾄｩｰﾗｽ
米歇尔斯
ﾌｨﾝｸｽ
H・米歇尔
ﾌｧﾝｷｰﾙ
ﾑｻｶ
ﾑﾊﾏﾄﾞ
梅洛蒂
ﾒﾘｽｰﾄﾞ
ﾓｰﾘｴｽ
马图拉纳
ﾓﾃﾞｨﾘｱｰﾆ
ﾃｨﾑｽﾞ
约尔德内斯库
雷哈格尔
卢森博格
里贝克
罗曼采夫
勒梅尔
A・拉姆齐
ﾘｰ･ｺｳｼｭﾝ
利维尔达
ﾘｸﾚﾙｸ
ﾘｼｬｰﾙ
ｼｪﾙｽﾀ
ﾘﾈｯﾃｨ
ﾊﾝﾁ
ﾗｲｸﾏﾝ
ﾙｻｶ
H 雷德克纳普
ｴﾃｩﾘ
里皮
ﾚﾏﾝﾃﾞｽ
ﾛﾁｪｽｸ
洛巴洛夫斯基
罗布森
ﾛﾝﾊﾞﾙﾃﾞｨ
ﾜﾄｿﾝ
ｲﾊﾞﾁｪｯﾁ
ﾔﾝｽ
ｽﾃﾌｫｽ
ﾉｰﾊﾞｲﾄ
沙夫
ﾌﾞｼｯﾁ
马加特
ﾊﾟｸﾄ
ﾎﾞﾌ
ﾗﾔｰ
ﾏﾝｲﾔｰ
ﾔｲｶﾞｰ
ﾍﾞﾛｼｭ
ﾛﾝﾊﾞﾙﾄﾞ 东乡
ﾏｹﾞｯﾁ
ﾗﾝｸｯｸ
ﾒｰﾗﾏﾝ
ﾉｲﾗ
勒鲁瓦
ｼﾞｭﾚｰﾙ
C・普埃尔
ﾎﾞｰﾝ
ﾎﾞﾝﾊﾞ
ｱｳﾘﾝ
ｷﾞﾗﾝﾌﾞﾙ
ﾊﾟﾗﾝ
ｱﾗﾝｺｽ
ｷﾞﾘｰ
菲利普贝热罗
ﾒﾙｼﾞ
ﾎｯｼﾞｽ
ﾄﾆｰ
ﾄﾆｵ
ﾛﾝ
ﾏﾙｷｭｽ
ｲﾉﾏ
ﾗﾝｻﾞｽ
ｾﾞﾐﾝﾋﾞｯﾁ
ﾍﾟﾙｶ
ﾍﾞﾙﾃﾞｯｸ
隆格盖里
ｼｪﾅｰ
ﾛｲｽ
ﾌﾞﾝﾛｰ
ﾛｰﾋﾞﾝ
ﾌﾚｵ
ｺﾞｼﾞｬｯｸ
ﾁｮ･ｳｴﾝ
ﾌｫﾝｸﾞ
ﾏｻﾞｯﾋﾟ
ﾛﾝﾀ
ｽｴｼｵ
ｼﾞｬﾝｿﾝ
ｶｰｸﾞﾝﾃﾞ
ﾒﾝﾁｭ
安东尼尼奥
斯科拉里
ﾊｰﾅｰ
阿德里希
ｼﾞｭﾝｽ
ﾉｯﾂ
ｱﾚﾝ
C・马尔蒂尼
ﾏｯｼｰ
ｼｭﾝﾍﾞﾙ
ｱﾙｷﾞﾚ
ｾｲｼﾞ
ﾉﾝ
ﾚﾝｽ
ｷﾞｭﾏﾝｽ
ｼｪﾙﾌ
阿尔图・若热
ﾀﾞﾘｵﾝ･ｺﾈｽ
ｴﾙｹﾞﾝ
ｱﾌﾟｰ
ｸﾞﾝﾃﾞﾋﾞｵ
ｽﾔﾌ
ｶｯﾀﾈｽ
ｱｼﾞｬﾊﾝ
ﾏﾝﾄ
拉涅利
ﾚﾝﾀﾞｰ
ﾃｨｰﾅ
索内斯
ﾄﾗﾝｶ
ﾏｰｸﾚﾝ
ﾙｼｪﾙ
ｶﾝｼｭﾘ
莫耶斯
ﾏｱｰﾀﾞﾝｽ
ﾌﾞﾗｺｲﾝ
ﾘﾝﾄ
ﾒｸﾞﾐﾝ
ﾌﾞﾙｰﾄ
德尔内里
ｹﾞｲﾄﾞﾝ
ｷｬｽﾐ
ﾊﾞｯｿｰﾘ
ﾌﾞﾝﾃﾞﾘ
ｶﾓﾚﾙ
ｱｺﾞｽﾃﾙ
ｱﾝｸﾞｽﾄ
ﾄﾞﾝﾐｯｼ
ﾃﾞｨﾊﾞｰｼﾞｮ
ﾏﾃｨﾝ
ﾊﾞﾙﾃﾞｰﾙ
贝尼特斯
ｲﾚﾙﾀﾞ
ﾛﾝﾃﾞｨｰﾉ
费尔南德斯
ﾏﾚ
ｶﾝﾊﾞﾛ
ｲｯｸ
ﾛﾝﾍﾟ
ｹｽﾍﾟｽ
ﾓﾝﾃ
ﾄﾞﾝｴ
ﾃﾞﾗﾏﾝｽ
ﾆｮﾓｽ
ﾛﾝﾏｰﾉ
ﾌﾞﾚｼﾝﾄ
ｱﾙｶﾄ
托普穆勒
ｺｰﾙﾓｽ
ﾗｽﾃｯｸ
ｶｰﾄ
ﾊﾞﾙﾄﾞｰﾙ
ﾍｯｹﾙ
ﾎﾞｰｸﾞﾏﾝ
ﾎﾞﾙﾏﾝ
ﾘﾝｹﾙ
ｱﾝ･ﾎﾝｼﾞｭﾝ
ﾁｮﾝ･ﾜﾝｼﾞｪ
ﾜﾝ･ﾁｪﾝﾎﾞﾝ
ﾁｪﾝ･ﾎﾝｽﾝ
ｼｸﾞﾍﾞﾙﾄﾞｼｮﾝ
ﾎﾟﾉﾓﾌ
ﾄﾞﾒﾗｯﾘ
ｽｷﾙﾃﾝ
ﾈﾙｾﾝ
ﾊﾜｰｽﾞ
ｺﾉｼｳﾞｨｯﾁ
ﾋﾟﾆｮｽ
ﾊﾟﾚﾏｯﾁ
ﾀﾞﾎﾞﾝｽｷｰ
ﾏﾙｸﾛｲ
ﾁｬﾝﾄﾞｽ
ﾗｾﾞｰﾊﾞ
ﾍﾞﾙﾏｲﾔｰ
ｸﾙﾅｰ
ﾎﾞﾙﾄ
ｱﾄﾞﾒﾛ
ｸﾊﾞﾈﾌ
ﾖﾊﾈﾝｾﾝ
巴洛蒂
ﾏﾛﾈﾝ
ﾏﾙﾃﾞｨﾉﾌ
ﾏﾛｲｴﾌ
ｽﾏｲﾛﾌ
ﾐﾙｶﾉﾌｽｷ
ｽﾊﾟﾝｿﾝ
米卢蒂诺维奇
ｽﾀﾝｺﾌ
ﾍﾞﾙﾁｳｽ
ﾙｸｿﾙ
ｾﾒﾝｴｽ
ｶﾞﾙﾁｮ
ﾊﾟｽﾄﾘｵ
ｵﾘﾍﾞ
ﾍﾞｸﾞｱﾙ
ﾗｼｳｽ
ﾎﾟﾙﾃｽ
ｵﾘﾋﾞｽ
ﾏﾗﾃﾞｽ
ｴﾄﾞﾜﾝ
ﾄﾞｩｯﾄﾙ
ﾍﾘｰﾅ
ﾀﾞｯｸﾞﾊﾞﾙ
特里姆
ｳﾘﾍﾞｪｯｷｵ
ｶｳﾞｧﾚｰﾗ
ｶﾓﾘｴﾆ
ﾌｧﾌﾞﾘｰﾉ
ﾊﾞｸﾞﾘｰ
ｸﾞﾗﾍﾞﾙ
ﾌﾞﾚｲﾝ
ｳｫﾙﾑｽ
ｽﾀﾝﾘｰ
ﾌｫﾙﾃｨﾝ
ｺﾞﾚｰﾛ
ﾛｺｰﾆｮ
ｶﾌﾟﾘﾅｽ
ﾒﾚﾅ
ﾘｭｯｸﾍﾞﾙ
ﾘｰｹﾞﾝ
ﾓﾗﾝﾄ
ﾊﾟｸﾞﾄﾞﾌ
ﾄﾞﾈﾂｸ
ﾌｫﾝﾃｨﾆ
ﾎﾙﾂｪｯｸ
ﾊﾞｰﾌﾟﾙ
ﾀﾞﾎﾟｰﾆ
ｸﾞｽﾗﾝﾄﾞ
ﾌﾟﾛﾝ
纳扎雷尔
ｶﾛｰﾆ
ﾏﾈｰｺﾞ
ﾌｧﾄﾞﾘｱﾝｾﾞ
ﾌｧﾝ･ﾃﾞｨﾚｳ
ﾏﾃﾞﾗｰﾚ
ｳﾞｪｽﾎﾙ
ﾌｧﾝ･ｾﾙﾃﾞ
ﾛｰﾀﾞｳｪｽﾞ
ｹｯﾍﾙ
ﾌｫﾚﾑ
ｵｺﾞｴﾈ
ﾊﾞﾙﾈﾌ
ﾗﾌﾟﾚｽ
ﾍﾝﾀﾞｰｿﾝ
ﾌﾞﾗｯﾁ
ﾃﾞｶｴｰﾛ
ﾌﾞｽﾞﾙ
ﾌｧｼｰﾆ
卡瓦切罗
摩多尼奥
ｺﾙﾄﾞｰﾆ
ﾛﾊﾞｿﾝ
ｵｺﾈﾙ
ｳﾞｨﾙｷﾝ
ｼﾞｪｳﾙ
ﾏﾘｵﾝ･ｺﾈｽ
ﾌﾞﾙｾﾞｯｼﾞ
ｵﾙｹﾞｰﾛ
ｱﾙｶﾞﾄﾞ
ｼｭｷﾋﾞﾙ
ﾂﾊﾞｯﾊｰ
ｶﾞﾙﾗﾝﾄﾞ
ｹｲﾄﾏﾝ
ｱﾝﾄﾞﾏ
ﾗｺﾌﾞｰ
ﾚｸﾚｯｸ
ｶﾞｽﾄﾙ
波洛克斯
ﾏｸﾛｳｽｷｰ
ｾﾙﾒｯﾄ
ﾗﾐﾙ
ﾈﾙﾏﾝ
ﾊﾞｸﾞｾﾝ
ﾌｧﾝ･ﾄﾞﾝ･ｹﾞﾑ
ｺﾙﾄﾞｳｯﾄﾞ
ﾃｨｽﾈﾑ
ｺｰﾙﾏﾝｽ
ｸﾗｳｽ
ｴｯﾌｪﾝｽ
ｸｰﾍﾟﾙﾄ
ｲｴﾙｶ
阿尔乔尔修
ﾌﾟﾆｮﾌ
ｱﾙﾊﾞﾝ
ｶｽﾃｨｰﾆｮ
卢塞斯库
ﾙｲｰｾﾞ
ﾏﾆｴﾛ
ﾎﾞﾆｮｰﾘｵ
ﾘｰｷﾝｽ
ｳﾞｧﾝ･ﾓﾚﾛ
ﾌｧﾝ･ﾍﾑﾈﾝ
ﾃｼﾞｮｽ
ﾜﾙﾑｽ
ｺﾞｽﾀﾙ
ｳﾞｧﾝﾃﾞｽﾄﾝ
ﾀﾙﾃﾞｨｴ
ﾐｺｰﾚ
ｳﾞｧﾝﾃﾞｸ
ﾘﾋﾞﾝｸﾞｳｪﾙ
ｺﾞﾙﾓｰﾙ
ﾀﾞﾓﾜﾙ
ﾊﾞﾙﾄﾙ
ﾀﾙﾏｰﾄ
ﾎﾞﾐﾃｨｯｸ
ﾛｽﾞﾌｨｰﾙﾄﾞ
马格贝尔
ﾗﾑﾆｽ
ﾕ･ﾌｧﾝｿﾙ
ｵｽﾃｨｯﾁ
ｲｼｪｯｸ
ﾊﾟﾋﾞｰﾆｬ
ｶﾞﾌﾞｼﾞｮﾙ
ﾏﾚｽ
ﾏｼｬﾗﾄﾞ
ｼﾞﾊﾞﾉﾋﾞｯﾁ
波茨科夫
比特雷斯克
ﾍｯﾌﾟｽ
ｶﾄｰｻﾞ
ﾀｷﾄｽ
ﾄﾞｶﾉﾌ
ﾀﾞﾆﾔﾂ
ﾎﾙﾂ
ｴﾄﾞﾏﾝﾄﾞ
ｴﾘﾌｧﾚｯﾄ
ｴﾙﾏｰ
ｴｲﾌﾞﾗﾑ
ｳｨﾙﾌﾚｯﾄ
ｳﾞｨｳﾞｨｱﾝ
ｲｼｭﾒﾙ
ｲｻﾞﾄﾞﾙ
ｻｲｰﾄﾞ
ｲｰﾉｽ
ｲｳﾞｧﾝ
ｱﾝﾌﾞﾛｰｽﾞ
ｱﾝﾄﾞﾘｭｰ
ｱﾝﾄｰﾆｱ
ｱﾝｶﾞｽ
ｱﾚｸｼｽ
ｱﾙﾏﾝ
ｱﾙﾋﾞﾝ
ｱﾙﾄﾞﾍﾙﾑ
ｱﾙﾀﾞｽ
ｱﾙｼﾞｬｰﾉﾝ
ｱﾙｳﾞｧ
ｱﾑﾌﾞﾛｰｽﾞ
ｱﾌﾞﾅｰ
ｱﾄﾞﾚｰ
ｱﾀﾞﾙﾊﾞｰﾄ
ﾀｰﾊｰ
ｱｰﾁﾎﾞﾙﾄﾞ
ｱｰｳﾞｨﾝｸﾞ
ｵｰｶﾞｽﾀｽ
拉扎罗尼
ｵｰﾌﾞﾘｰ
ｵｽﾞﾜﾙﾄﾞ
ｵﾈｼﾏｽ
ｶｰﾃｨｽ
ｶｻﾝﾄﾞﾗ
ｶﾞｯﾄﾞ
ｶﾞﾏﾘｴﾙ
ｷｬｼｱｽ
ｸｪﾝﾃｲﾝ
ｸﾘﾌｫｰﾄﾞ
ｺﾞﾄﾞﾌﾘｰ
